,Serie,Date,Value
17333,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-02,610.0
17334,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-02,548.39
17335,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-03,509.0
17336,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-03,548.39
17337,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-04,2585.0
17338,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-04,548.39
17339,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-05,936.0
17340,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-05,548.39
17341,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-06,704.0
17342,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-06,548.39
17343,Display-Direct Buy-NA-NA-AdWeek-Impressions,2024-01-07,631.0
17344,Display-Direct Buy-NA-NA-AdWeek-Spend,2024-01-07,548.39
17345,Social-Meta-Sales Led-Mid-NA-Impressions,2023-12-31,22981.0
17346,Social-Meta-Sales Led-Mid-NA-Clicks,2023-12-31,144.0
17347,Social-Meta-Sales Led-Mid-NA-Spend,2023-12-31,682.28
17348,Social-Meta-Sales Led-Bottom-NA-Impressions,2023-12-31,7395.0
17349,Social-Meta-Sales Led-Bottom-NA-Clicks,2023-12-31,26.0
17350,Social-Meta-Sales Led-Bottom-NA-Spend,2023-12-31,466.44
17351,Social-Meta-Sales Led-Mid-NA-Impressions,2023-12-30,21118.0
17352,Social-Meta-Sales Led-Mid-NA-Clicks,2023-12-30,120.0
17353,Social-Meta-Sales Led-Mid-NA-Spend,2023-12-30,670.4000000000001
17354,Social-Meta-Sales Led-Bottom-NA-Impressions,2023-12-30,6154.0
17355,Social-Meta-Sales Led-Bottom-NA-Clicks,2023-12-30,30.0
17356,Social-Meta-Sales Led-Bottom-NA-Spend,2023-12-30,437.1
17357,Social-Meta-Sales Led-Mid-NA-Impressions,2023-12-29,20193.0
17358,Social-Meta-Sales Led-Mid-NA-Clicks,2023-12-29,133.0
17359,Social-Meta-Sales Led-Mid-NA-Spend,2023-12-29,644.38
17360,Social-Meta-Sales Led-Bottom-NA-Impressions,2023-12-29,9355.0
17361,Social-Meta-Sales Led-Bottom-NA-Clicks,2023-12-29,33.0
17362,Social-Meta-Sales Led-Bottom-NA-Spend,2023-12-29,434.98
17363,Social-Meta-Sales Led-Mid-NA-Impressions,2023-12-28,20948.0
17364,Social-Meta-Sales Led-Mid-NA-Clicks,2023-12-28,122.0
17365,Social-Meta-Sales Led-Mid-NA-Spend,2023-12-28,640.8
17366,Social-Meta-Sales Led-Bottom-NA-Impressions,2023-12-28,11138.0
17367,Social-Meta-Sales Led-Bottom-NA-Clicks,2023-12-28,28.0
17368,Social-Meta-Sales Led-Bottom-NA-Spend,2023-12-28,431.61
17369,Social-Meta-Sales Led-Mid-NA-Impressions,2023-12-27,22058.0
17370,Social-Meta-Sales Led-Mid-NA-Clicks,2023-12-27,153.0
17371,Social-Meta-Sales Led-Mid-NA-Spend,2023-12-27,649.3199999999999
17372,Social-Meta-Sales Led-Bottom-NA-Impressions,2023-12-27,13860.0
17373,Social-Meta-Sales Led-Bottom-NA-Clicks,2023-12-27,39.0
17374,Social-Meta-Sales Led-Bottom-NA-Spend,2023-12-27,445.28
17375,Social-Meta-Sales Led-Mid-NA-Impressions,2023-12-26,25350.0
17376,Social-Meta-Sales Led-Mid-NA-Clicks,2023-12-26,146.0
17377,Social-Meta-Sales Led-Mid-NA-Spend,2023-12-26,665.44
17378,Social-Meta-Sales Led-Bottom-NA-Impressions,2023-12-26,12784.0
17379,Social-Meta-Sales Led-Bottom-NA-Clicks,2023-12-26,32.0
17380,Social-Meta-Sales Led-Bottom-NA-Spend,2023-12-26,441.11
17381,Social-Meta-Sales Led-Mid-NA-Impressions,2023-12-25,21564.0
17382,Social-Meta-Sales Led-Mid-NA-Clicks,2023-12-25,134.0
17383,Social-Meta-Sales Led-Mid-NA-Spend,2023-12-25,677.24
17384,Social-Meta-Sales Led-Bottom-NA-Impressions,2023-12-25,7286.0
17385,Social-Meta-Sales Led-Bottom-NA-Clicks,2023-12-25,29.0
17386,Social-Meta-Sales Led-Bottom-NA-Spend,2023-12-25,437.01
17387,Social-Meta-Sales Led-Mid-NA-Impressions,2023-12-24,19589.0
17388,Social-Meta-Sales Led-Mid-NA-Clicks,2023-12-24,89.0
17389,Social-Meta-Sales Led-Mid-NA-Spend,2023-12-24,682.52
